"Reference","Qty","DigiKey"
"C1,C3,C4","3","399-C0805C680J5GAC7800CT-ND"
"C2,C19","2","493-7373-1-ND"
"C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17","13","399-C0805C104K5RAC7210CT-ND"
"C18","1","493-3930-1-ND"
"D1,D2","2","732-4984-1-ND"
"D4","1","641-1340-5-ND"
"D5","1","112-VS-MBRS340-M3/9ATCT-ND"
"IC1","1","296-1214-1-ND"
"IC2,IC3,IC4,IC5,IC6","5","296-3700-1-ND"
"IC7","1","296-14894-1-ND"
"IC8","1","296-33998-5-ND"
"IC9","1","296-31850-1-ND"
"IC10","1","296-14899-1-ND"
"IC11","1","296-SN74LS153DRCT-ND"
"IC12","1","SN74ALS30ADR-ND"
"IC13","1","ATF16V8C-7PU-ND"
"J2,J3,J4,J5","4","3-583717-1-ND"
"J6,S2,SW1,SW2","4",""
"L1","1","495-2016-1-ND"
"R1,R2,R3,R4,R5,R6,R8,R9","8","541-4131-1-ND"
"R10,R11","2","541-RCC080547K0FKEACT-ND"
"U1","1","945-1032-ND"
"U2","1","LM2596S-5.0/NOPB-ND"
